name,location,cuisines,rate,approx_cost(for two people)
Chaska Bun,Koramangala 5th Block,Fast Food,4.2/5,300
Dreams Cafe - All Day English Food St.,Koramangala 1st Block,"Cafe, Continental, Burger",3.8/5,600
Graffitea,BTM,"Beverages, Fast Food",3.7/5,200
Mecaf Family Restaurant,BTM,"North Indian, Chinese, Fast Food, Rolls, Beverages",3.9/5,600
Kabab Mehal,JP Nagar,"Kebab, North Indian, Fast Food, Beverages",3.7/5,400
Royal Calcutta Restaurant,HSR,"Bengali, North Indian, Chinese",3.3/5,400
Asha Tiffins,HSR,South Indian,4.3/5,150
Gruhalakshmi Home Foods,Bommanahalli,Mithai,,250
Just Chill,BTM,Beverages,3.4/5,250
Hunger2Eat,BTM,"Biryani, Fast Food, North Indian",3.7/5,400
Mani's Dum Biryani,Koramangala 1st Block,"Biryani, Kebab",3.9/5,750
Ramji Chaiwale,Jayanagar,"Beverages, Fast Food",3.6/5,250
Pingara,Koramangala 1st Block,"North Indian, Chinese, Mangalorean",3.7/5,550
Calicut Durbar,Koramangala 7th Block,"Arabian, North Indian",3.9/5,500
Momo Time,Bannerghatta Road,"Momos, American",,600
Navya Foods,HSR,"North Indian, Fast Food",3.4/5,300
C. K. Mega Hot Food,BTM,"Chinese, Momos",3.9/5,600
Punjabi Corner,Bannerghatta Road,"North Indian, Chinese",3.9/5,250
Lassi Plaza,HSR,"Desserts, Beverages",,100
The Hungers Zone,BTM,"Fast Food, Italian, Pizza",3.8/5,300
Kor Cafe,Koramangala 1st Block,Kerala,3.8/5,300
Chaitanya Cafe,JP Nagar,"South Indian, North Indian, Fast Food",3.9/5,300
Zaitoon Lassi Cafe,BTM,"Cafe, Burger, Sandwich, Beverages",,150
HOTEL VKM,BTM,South Indian,,300
Samosa Express,BTM,Street Food,3.1/5,150
Lord of Combos,HSR,North Indian,3.1/5,500
Hyderabad Biryaani House,Koramangala 5th Block,"Biryani, North Indian, Chinese, Hyderabadi",4.1/5,750
Chicken County Grand,Bannerghatta Road,"North Indian, Chinese",3.9/5,650
Gyani Da Punjabi Dhaba,BTM,"North Indian, Chinese",3.9/5,500
North Indian Tadka,Ejipura,"Chinese, North Indian",3.0/5,200
Biriyani Bhatti,BTM,"Chinese, Hyderabadi, North Indian",3.7/5,400
Mug N Bean,Jayanagar,"Cafe, Continental, Italian, Burger",3.9/5,400
Refills Eatery And Beverages,BTM,"North Indian, South Indian, Chinese",3.8/5,450
King Punjabi Restaurant,BTM,North Indian,3.8/5,300
Oregano Pizzeria,Koramangala 4th Block,"Cafe, Italian, Pizza",3.7/5,450
Snack Knack,BTM,"North Indian, Chinese",3.0/5,200
Ooty Chocolates,Koramangala 4th Block,Desserts,4.1/5,300
Baba Ka Dhaba,BTM,North Indian,3.7/5,400
Hotel Godavari,BTM,"Andhra, Chinese, North Indian, Biryani",3.9/5,500
Tharavadu,HSR,"Chinese, North Indian, Kerala",3.8/5,400
Onesta,Koramangala 4th Block,"Pizza, Cafe, Italian",4.4/5,600
New Kabab Plaza,BTM,"North Indian, Chinese",3.7/5,500
Woody's,JP Nagar,"Chinese, South Indian, North Indian",2.6/5,650
Havmor,Jayanagar,"Ice Cream, Desserts",3.8/5,200
Cafe Medley,Koramangala 5th Block,"Cafe, Continental, Burger",4.2/5,800
Khana Khazana,Bannerghatta Road,North Indian,3.7/5,400
Afghani Tandoori Hub,BTM,"Arabian, Afghan",3.6/5,400
Noodle Panda,Koramangala 5th Block,"Chinese, Indonesian, Japanese, Malaysian, Thai, Vietnamese, Momos",4.3/5,800
Biryani Palace,HSR,"Biryani, Hyderabadi, Chinese",3.9/5,600
Thottathil Restaurant,BTM,"Kerala, South Indian, Biryani",3.8/5,300
Bhojohori Manna,Koramangala 6th Block,"Bengali, Mughlai",4.1/5,650
Tawa Sagara,Jayanagar,"Mangalorean, Seafood",3.8/5,700
Pappu Da Dhaba,Jayanagar,"North Indian, Fast Food, Beverages, Momos",3.0/5,400
Kulfisthan,HSR,Ice Cream,3.4/5,150
Le Centre Jeunesse,Bannerghatta Road,Continental,,400
Szechuan Dragon,HSR,"Chinese, Thai, Momos",3.9/5,600
UBQ by Barbeque Nation,Koramangala 1st Block,"North Indian, BBQ, Biryani, Kebab",3.5/5,450
Aubree Le Chocolatier,Koramangala 6th Block,Desserts,NEW,300
Mealer.in,Koramangala 4th Block,"North Indian, Biryani",4.2/5,450
RSS Donne Biryani,BTM,Biryani,3.3/5,300
Juice Junction Food Court,Koramangala 6th Block,"Beverages, Juices, Fast Food",3.7/5,250
Panther Cafe,BTM,Beverages,3.5/5,200
New Mangalore Lunch Home,Koramangala 1st Block,"Mangalorean, Chinese, North Indian",3.7/5,300
Crunch Pizzas,HSR,"Italian, Pizza",2.6/5,600
Patio 805,Jayanagar,"Thai, Vietnamese, Asian, Chinese",4.1/5,"1,200"
Zaitoon,JP Nagar,"BBQ, Arabian, Chinese, North Indian, Desserts",4.1/5,"1,000"
Chatter Platter,BTM,"Street Food, North Indian",3.4/5,300
Cookie Man,Koramangala 7th Block,Bakery,4.0/5,150
Brownie Points,Koramangala 4th Block,"Bakery, Desserts",3.8/5,300
The Chai Stop,Koramangala 5th Block,"Fast Food, Tea",NEW,200
Ustaad Biryani,HSR,Biryani,3.2/5,500
Soup Station,"ITPL Main Road, Whitefield",Continental,,250
Lassi Corner,Koramangala 5th Block,"Beverages, Desserts",3.4/5,300
Biryani Mandra,Koramangala 1st Block,"Seafood, Salad, North Indian, Biryani, Chinese",3.8/5,500
Lucknowi Dabba,Koramangala 1st Block,"Mughlai, Chinese, North Indian",3.7/5,300
Melting Melodies,Koramangala 1st Block,"Bakery, Desserts",NEW,600
Call A Cake,BTM,Bakery,3.6/5,500
Qube Cafe,Koramangala 4th Block,"Cafe, Desserts",4.2/5,700
PK Dhaba,Marathahalli,"North Indian, Fast Food, Beverages",NEW,250
Rang De Basanthi,Koramangala 4th Block,"North Indian, South Indian, Chinese",3.7/5,400
The Burger Place,Koramangala 1st Block,"Burger, Continental, Fast Food",3.8/5,400
Little Lucknow,Koramangala 5th Block,"Mughlai, North Indian",4.0/5,800
Odissi Restaurant,BTM,"Oriya, Bengali",2.8/5,500
1441 Pizzeria,JP Nagar,"Pizza, Salad",4.1/5,800
Quench The Juice Lounge,Jayanagar,"Beverages, Juices, Ice Cream",3.6/5,150
Dabba Gosht,BTM,"Arabian, Middle Eastern",3.5/5,400
Calvin's,HSR,Desserts,3.8/5,800
Kababish Restaurant,BTM,"North Indian, Chinese, Arabian",3.6/5,700
Smoke - The Sizzler House,Bannerghatta Road,"Continental, Chinese, Thai, Italian, BBQ, Steak",3.8/5,"1,100"
GrannyzHut,HSR,"Bengali, North Indian",3.4/5,350
Cafe Noir,Koramangala 7th Block,"European, French, Salad",,"1,500"
The Beer Cafe,Koramangala 4th Block,"Finger Food, Chinese, Italian, Burger",4.2/5,"1,300"
Attic Lounge,Koramangala 4th Block,Cafe,4.0/5,700
AM WOW,Jayanagar,Beverages,3.4/5,100
Nati Palace,JP Nagar,"South Indian, North Indian",3.5/5,200
Eagles Pizza,Koramangala 7th Block,"Pizza, Italian",3.6/5,400
Shake The Shake,BTM,Juices,NEW,200
Bistro Claytopia,Koramangala 1st Block,"Cafe, American, Italian, Burger",4.1/5,600
Mr. Parathewala,Jayanagar,North Indian,,300
Healthy Parathawala,BTM,North Indian,NEW,200
Veruthe Oru Thattukada,BTM,"Kerala, South Indian",3.7/5,400
Delicacy,Koramangala 4th Block,"Chinese, Thai, Momos",3.9/5,500
My Tea House,Banashankari,"Continental, Asian, North Indian, Tea",NEW,500
WTF,Koramangala 5th Block,"Cafe, Continental",4.1/5,600
Indian Desi Momo,Bommanahalli,Momos,,200
Flavour of Himalaya,Koramangala 5th Block,Asian,3.7/5,500
Chilld Monk,BTM,"Desserts, Ice Cream",3.5/5,250
Hum Biryani,BTM,"Biryani, North Indian",3.4/5,600
Ganesh Restaurant,Koramangala 5th Block,"Chinese, Street Food",3.7/5,300
Stories,JP Nagar,"American, Chinese, Continental, North Indian",4.2/5,"1,200"
Paratha Singh Pakora King,Koramangala 6th Block,"Rajasthani, North Indian, Street Food",3.7/5,300
Eshmeet Da Dhaba,Koramangala 6th Block,"North Indian, Chinese",3.1/5,500
Moolehatti Donne Biryani Mane,HSR,"Biryani, Chinese, North Indian, Kebab",3.6/5,400
Ice Stone Creamery,Jayanagar,"Desserts, Ice Cream",3.7/5,400
Foodiesthan,HSR,"Cafe, Fast Food, North Indian",3.7/5,600
Juice Shop,BTM,"Juices, Beverages, Ice Cream",3.5/5,150
Asia Kitchen By Mainland China,Koramangala 5th Block,"Asian, Chinese, Thai, Momos",4.9/5,"1,500"
Hungry Haters,JP Nagar,"Chinese, North Indian",,300
Howrah Bridge,HSR,"Bengali, Seafood",3.3/5,600
Ghee Positive,Koramangala 8th Block,"North Indian, Chinese",3.8/5,300
Sarvam,HSR,"South Indian, Chettinad, Chinese, North Indian, Andhra, Seafood",3.6/5,550
Roll Over,JP Nagar,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",4.1/5,500
Mockaholic Restro Beer Cafe,JP Nagar,"North Indian, Chinese, Pizza, BBQ",3.9/5,"1,000"
The Monalisa Restaurant,Koramangala 5th Block,Chinese,3.3/5,300
Basmati's Briyani Nation,HSR,"Biryani, Fast Food",NEW,350
Marwa Restaurant,Bannerghatta Road,"North Indian, Chinese, Fast Food, BBQ",3.5/5,600
Tibetan Mother's Kitchen,Koramangala 7th Block,"Tibetan, Chinese, Momos",4.0/5,500
Pecos Hideout,BTM,Finger Food,4.0/5,"1,100"
Hanoi - Vietnamese Cuisine,Koramangala 4th Block,Vietnamese,4.4/5,"1,000"
Yum In My Tum,BTM,"Chinese, Continental, Fast Food, Healthy Food",4.1/5,300
Once In Nature,JP Nagar,Healthy Food,3.7/5,300
Gud Dhani,BTM,Rajasthani,4.0/5,500
Royal Paris,BTM,"North Indian, Arabian, Chinese",3.9/5,"1,000"
What'sinaPita,Koramangala 1st Block,"Mediterranean, Middle Eastern, Wraps, Rolls",3.9/5,400
David's Kitchen,BTM,"North Indian, South Indian, Chinese",3.5/5,200
Daniyal's,BTM,"North Indian, Biryani, Mughlai, Kebab",3.1/5,800
Smally's Resto Cafe,Koramangala 5th Block,"Cafe, Italian, Burger, American, Steak",4.2/5,650
Tarbouche,Koramangala 5th Block,"Turkish, Rolls",4.0/5,300
Fujian Express,HSR,"Chinese, Thai, American, Momos",3.2/5,200
Desi Flavours,Koramangala 1st Block,"North Indian, Chinese, Biryani",3.9/5,400
Swaadam Veg,BTM,"South Indian, Chinese",3.6/5,300
Bakers77,Jayanagar,"Bakery, Fast Food",4.0/5,400
Mustard Food Court,Koramangala 3rd Block,"North Indian, Chinese",3.6/5,500
Patiala House,Koramangala 7th Block,"North Indian, Rolls, Chinese, Biryani",,300
Once Upon A Flame,HSR,"Steak, Continental, Burger, BBQ",4.5/5,"1,200"
Skinz Ooty Chocolate,Koramangala 8th Block,Desserts,,200
Karahi Kitchen,Koramangala 5th Block,"Andhra, Biryani, Chinese",3.9/5,300
Nagas,HSR,"Andhra, Hyderabadi, North Indian",2.9/5,300
Stoned Monkey,Koramangala 6th Block,"Desserts, Ice Cream",4.1/5,500
Chung Wah,Bannerghatta Road,"Chinese, Thai, Momos, Vietnamese",4.0/5,800
The Shawarma Shop,BTM,Arabian,4.1/5,250
Nilu Ki Rasoi,BTM,"North Indian, Chinese",3.7/5,250
New Kabab Zone,Bannerghatta Road,"North Indian, Fast Food",3.7/5,500
Brownie Heaven,Koramangala 5th Block,Desserts,3.9/5,300
Ruh's Cafe,BTM,"Cafe, American, Italian, Continental, Chinese",4.1/5,500
Barbeque Delight,Koramangala 5th Block,"Arabian, Kerala, North Indian, Chinese, BBQ",3.7/5,800
Milk N Shakes,Koramangala 8th Block,Beverages,3.7/5,300
Fritz Haber,HSR,"Ice Cream, Desserts",4.1/5,450
Chicken Corner,BTM,"Biryani, North Indian, Fast Food, Chinese",3.7/5,400
Bombay Kulfi,Jayanagar,"Desserts, Ice Cream",3.8/5,150
Bangaliana,Koramangala 7th Block,Bengali,3.9/5,600
Rolla Rappa,HSR,"Biryani, Fast Food, Rolls, Momos",3.6/5,400
Still Sipping,HSR,"Cafe, Continental, Coffee",NEW,800
Basmati Delights,BTM,"Biryani, Chinese, Mughlai, Fast Food, Kebab",4.0/5,500
Tawa Ghar Ka,HSR,North Indian,3.8/5,350
Uday Sweets,Koramangala 5th Block,"Mithai, Fast Food",3.8/5,250
Only Sharjah,BTM,Beverages,NEW,200
Chillout,BTM,"Burger, Cafe, Pizza, Fast Food",,200
D Fusion,Bommanahalli,"Fast Food, Chinese",3.5/5,400
Vidya Cafe,JP Nagar,"Burger, Fast Food, Desserts, Sandwich",3.2/5,300
Mitran Da Junction,Koramangala 6th Block,North Indian,4.1/5,600
B2D Indori Dhaba,BTM,North Indian,,100
Freshies Gourmet Salads,HSR,"Salad, Healthy Food",3.7/5,350
Bansuri Sweets,BTM,"Street Food, North Indian",3.8/5,200
Lassi Darbar,BTM,"Ice Cream, Juices, Beverages",3.6/5,200
Lot Like Crepes,Koramangala 7th Block,"Cafe, Desserts, Continental",4.7/5,550
Gramin,Koramangala 7th Block,North Indian,4.3/5,600
Tenzin Kitchen,Koramangala 7th Block,"Tibetan, Chinese, Momos",4.2/5,450
Raichur Biryani House,HSR,"Biryani, North Indian, Chinese",3.8/5,400
Yummerica Fries,BTM,"Fast Food, Beverages",3.3/5,300
Hot Burg,Bannerghatta Road,"Fast Food, Juices",3.5/5,200
Willys Top Cafe,Jayanagar,"Cafe, Continental, Asian",4.0/5,750
New Prashanth Hotel,Jayanagar,"South Indian, Biryani, Chinese, North Indian",3.6/5,750
Laziz Pizza,Koramangala 7th Block,"Fast Food, Burger, Pizza",3.8/5,400
Al Hayath,BTM,"North Indian, Chinese",3.5/5,200
Khaja Point,BTM,"North Indian, Chinese, Biryani",NEW,300
Kumarakom,HSR,"Kerala, Seafood, South Indian, North Indian, Chinese",3.8/5,600
Babu Moshai,Bannerghatta Road,"Fast Food, Bengali",3.1/5,500
Shanghai Court,Bannerghatta Road,"Chinese, Thai",4.2/5,700
Ascharya Hotel,Koramangala 5th Block,"Mangalorean, South Indian",3.4/5,300
Dev's Gugababa,BTM,"Bengali, North Indian, Chinese",3.5/5,500
DinePost9,Koramangala 1st Block,"North Indian, South Indian, Chinese, Continental",3.9/5,450
WAFL Co,Koramangala 5th Block,"Desserts, Beverages",4.3/5,400
Oh My Biryani,HSR,"Biryani, North Indian",3.7/5,550
Kinpeetos,Koramangala 5th Block,"Lebanese, Greek",3.9/5,300
Pipabu,Koramangala 4th Block,"Continental, Italian, Chinese",3.8/5,750
Chun Li,Koramangala 6th Block,Chinese,,300
Nutri Fit,HSR,Healthy Food,3.4/5,300
Punjabi by Nature 2.0,BTM,North Indian,4.2/5,"1,600"
Curry Leaves,Jayanagar,"Andhra, North Indian, Chinese",3.8/5,600
Biryani Miya,JP Nagar,"Biryani, North Indian",3.7/5,600
Abhiruchi Hotel,Bommanahalli,"North Indian, South Indian, Chinese",3.2/5,500
Ishta Cafe,Jayanagar,"Pizza, South Indian, Healthy Food",3.9/5,500
Olives Restaurant,HSR,"South Indian, Chinese, North Indian",,400
D View Cafe,JP Nagar,"Cafe, Italian, Chinese, Beverages",4.0/5,"1,000"
Mr. Cane,Bommanahalli,Juices,,100
Chai Culture,Jayanagar,Beverages,3.6/5,200
Ambara Gardenia,Bannerghatta Road,"Andhra, North Indian, Chinese, Seafood",3.8/5,800
Nellore Ruchulu,Bannerghatta Road,"North Indian, South Indian, Chinese",3.7/5,800
Brewsky,JP Nagar,"Continental, American",4.4/5,"1,600"
Stoner,Koramangala 5th Block,"Ice Cream, Cafe, Pizza, Burger, Desserts, Beverages",4.5/5,500
Baba Chatkora,Koramangala 6th Block,North Indian,4.2/5,"1,000"
The Rasoiya Street,HSR,"North Indian, Continental, Mediterranean, Chinese",4.1/5,800
Sector 7 CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,HSR,"Cafe, Continental, Pizza, Salad",4.3/5,700
Chulha Chauki Da Dhaba,JP Nagar,North Indian,4.3/5,800
Smise,Koramangala 4th Block,"Cafe, Continental, Italian, Burger, Pizza",4.0/5,650
Mystique Palate,Jayanagar,"Chinese, Fast Food",4.1/5,300
Eat N Pack,BTM,Kerala,,150
A Hole Lotta Love Cafe,Koramangala 5th Block,"Cafe, American, Burger, Sandwich, Beverages",4.4/5,600
Ilyazsab The House Of Chicken,BTM,"Rolls, Kebab",4.0/5,250
Tall Blonde French,Koramangala 5th Block,Fast Food,4.3/5,400
The Paramount Hotel,Koramangala 5th Block,"North Indian, Seafood, Biryani, Kerala",3.5/5,"1,000"
The Litti Company,Koramangala 4th Block,Bihari,3.7/5,400
Rafees Biryani,Koramangala 5th Block,"Biryani, North Indian, Desserts",3.7/5,600
Karavali Grand,Koramangala 5th Block,"Mangalorean, Seafood, North Indian, Chinese",3.7/5,600
Meenu Oota Da Maane,Koramangala 5th Block,"Seafood, Mangalorean, Chinese",4.2/5,800
TheRiceBowl.In,BTM,"Biryani, North Indian",3.4/5,200
Juicy Momos,Bannerghatta Road,"Tibetan, Momos",3.1/5,250
FNP Cakes N More,Koramangala 5th Block,Bakery,,700
Habibi Falafel,Koramangala 1st Block,"Lebanese, Middle Eastern",4.3/5,300
Cucumber Town,BTM,"Kerala, North Indian",4.2/5,600
Bonsouth,Koramangala 5th Block,"Chettinad, Andhra, Kerala",4.2/5,"1,300"
BTM Ghar ka Khana,BTM,North Indian,3.7/5,200
Rolls On Wheels,BTM,"Fast Food, Rolls, Momos",3.5/5,200
Belgian Waffle Factory,Koramangala 5th Block,Desserts,4.8/5,400
Nasi And Mee,Koramangala 4th Block,"Malaysian, Thai, Singaporean, Asian, Chinese, Momos",4.4/5,"1,000"
NutBerry,HSR,"Beverages, Desserts, Fast Food",3.7/5,150
Darshan Paradise Restaurant,BTM,"North Indian, Chinese",NEW,250
Navami,Jayanagar,"Andhra, North Indian, Chinese, Mangalorean, Seafood, Biryani",3.5/5,600
Ambur Biryani,Koramangala 8th Block,Biryani,,200
Shetty's Kitchen,Bannerghatta Road,Mangalorean,3.7/5,600
Aami Bangali,Koramangala 5th Block,Bengali,3.0/5,700
Pizza Stop,JP Nagar,"Pizza, Italian",3.9/5,600
Juice Junction,JP Nagar,"Juices, Fast Food",2.8/5,150
Tasty Jigarthanda,BTM,"Beverages, Ice Cream",3.4/5,150
Bake and Juice,BTM,"Fast Food, Beverages",3.5/5,400
The Cuboidal,BTM,"Fast Food, Beverages, Sandwich",3.6/5,300
New Karawali Lunch Home,Bannerghatta Road,Mangalorean,3.5/5,350
Dalma,Koramangala 6th Block,Oriya,3.9/5,600
BANGALORE BOX,BTM,"Asian, Continental, Finger Food",4.1/5,"1,500"
Mid-Night Crunch,HSR,"North Indian, Chinese",3.6/5,400
RotiCurry,HSR,"Street Food, North Indian",3.1/5,300
Hotel Khaaja,Bannerghatta Road,"Biryani, Fast Food",3.1/5,250
Chavadi,Bannerghatta Road,"Continental, North Indian, Pizza, Italian",4.4/5,"1,200"
Make It Roll,HSR,"Rolls, Salad, Sandwich",3.8/5,400
Tarbouche,BTM,"Turkish, Rolls",3.8/5,300
Roots,Koramangala 1st Block,"North Indian, South Indian, Chinese, Continental, Mangalorean",4.5/5,"1,200"
Bamey's Restro Cafe,Koramangala 5th Block,"Chinese, Singaporean, Thai, Asian, Nepalese, Momos",4.2/5,600
Shaap,Koramangala 5th Block,"Kerala, Seafood",3.6/5,500
Sultans of Spice,Koramangala 5th Block,"North Indian, Mughlai, Salad",4.5/5,"1,300"
Kolkata Famous Kati Roll,JP Nagar,"Rolls, Chinese",3.5/5,200
DeliBox.in,BTM,South Indian,3.7/5,150
Waffle Head,BTM,"Desserts, Beverages, Bakery, Ice Cream",4.0/5,300
The Coastal Crew by Fujian on 24th,JP Nagar,"Chinese, Thai, Seafood, North Indian, Momos",4.2/5,"1,100"
Taste of Nepal,Koramangala 8th Block,"Nepalese, Momos, Chinese",3.5/5,350
Oye Mithai,Koramangala 1st Block,Mithai,,200
Haagen Dazs,Koramangala 7th Block,"Ice Cream, Desserts",3.9/5,800
Potato Bae,Koramangala 5th Block,Fast Food,4.0/5,500
Bistro Oui,Koramangala 5th Block,"Cafe, Continental, Salad, Steak",4.1/5,"1,200"
FreshBakes,Koramangala 1st Block,"Bakery, Desserts",,350
Meal & Biryani,Bommanahalli,"Andhra, South Indian",3.6/5,450
Grills & Rolls,JP Nagar,"North Indian, Chinese, Fast Food, Rolls, Juices",2.5/5,400
Fitnest,BTM,"Healthy Food, North Indian",3.2/5,350
Go Native,Jayanagar,"Healthy Food, Cafe, Beverages",4.3/5,800
Mother's Rasoi,Bannerghatta Road,"North Indian, Chinese, Momos",3.8/5,250
Sonar Bangala,Koramangala 5th Block,"Bengali, North Indian",3.8/5,500
Cochin Connection,Koramangala 6th Block,"Kerala, South Indian",3.6/5,500
Krem,Koramangala 5th Block,"Desserts, Ice Cream, Beverages, Sandwich",4.1/5,450
Samaikya,HSR,"Andhra, Seafood, Biryani",3.9/5,900
Aniram's,JP Nagar,"Chinese, North Indian",4.1/5,500
Alif Restaurant,JP Nagar,"North Indian, Chinese",3.6/5,600
Ross Kitchen,BTM,Chinese,3.6/5,400
Garma Garam,Bannerghatta Road,"North Indian, Chinese, Biryani, Rolls",3.2/5,350
Crafted Plate,JP Nagar,"Cafe, Asian, Burger, Continental, Italian, Salad",4.2/5,600
Punjabi Times,Bannerghatta Road,North Indian,4.1/5,"1,000"
Zangos Grill,Koramangala 1st Block,"BBQ, Fast Food",4.0/5,300
Friends Chats Adda,BTM,"Fast Food, Sandwich, Beverages",NEW,200
Amjad Bhai's Star Hotel - Home Food Only,BTM,"North Indian, South Indian",NEW,300
Taste Of Kolkata,BTM,"Bengali, Chinese, Rolls",3.1/5,400
AlienSip,BTM,Juices,3.6/5,200
Fanoos Xprss,Jayanagar,"Arabian, Rolls, North Indian, BBQ",3.7/5,400
Pasta Street,Koramangala 4th Block,"Italian, Pizza, Salad",4.5/5,"1,300"
Gujrati Mess,JP Nagar,Gujarati,3.6/5,200
Helloo Delhi,Koramangala 4th Block,North Indian,4.1/5,"1,000"
Sambram Biriyani Paradise,JP Nagar,"Biryani, North Indian, Chinese",3.6/5,600
Sufra Restaurant,HSR,"North Indian, Chinese",3.7/5,800
WOW Laddus,JP Nagar,Mithai,,800
Mad Over Biryani,JP Nagar,"North Indian, Biryani",3.3/5,600
LIT Gastro Pub,Jayanagar,"Chinese, Continental, Burger, Pizza",3.8/5,"1,000"
Arabian Bites,BTM,"North Indian, Chinese",3.4/5,300
Chai Street,Koramangala 5th Block,Beverages,3.2/5,150
Appana Restaurant,BTM,North Indian,3.5/5,300
Oye Amritsar,JP Nagar,North Indian,3.8/5,600
Bisimillah Biriyani,BTM,"Biryani, Fast Food",3.5/5,300
Pizza Palace,Bommanahalli,"Pizza, Fast Food",NEW,300
Feastaurant,HSR,"Bengali, Chinese",3.7/5,800
The Yellow Chilli,Jayanagar,"North Indian, Mughlai, Biryani",3.8/5,"1,200"
Khan Saheb Grills and Rolls,Jayanagar,"Fast Food, Rolls",3.9/5,350
Cafe Thulp,Koramangala 1st Block,"Cafe, Burger, Italian, Salad",4.1/5,"1,000"
Grillopia,BTM,"Italian, American, Fast Food, Wraps, Rolls, Salad",3.9/5,"1,000"
The Food Cottage,BTM,"Hyderabadi, North Indian",3.7/5,350
The Smoke Co.,Koramangala 6th Block,"American, European",4.3/5,"2,500"
Rashtrakutas,HSR,"South Indian, Biryani, North Indian",3.9/5,800
Hunger Hitman,Koramangala,"North Indian, Chinese",3.8/5,300
More Pizza,JP Nagar,Pizza,3.8/5,450
Snow'ora,Koramangala 4th Block,"Desserts, Ice Cream, Beverages",4.3/5,450
Spurthi Foods,BTM,Andhra,3.7/5,300
Zhang's - Chinese Restaurant,JP Nagar,"Chinese, Momos",4.1/5,700
New Friends,BTM,"North Indian, Continental, Chinese, Steak",3.8/5,900
Big Fat Brownie,HSR,"Bakery, Sandwich",,400
Sky Juice Corner,Koramangala 5th Block,Juices,NEW,100
Al-Marhaba Restaurant,BTM,"Arabian, Chinese, North Indian, Rolls, Momos",NEW,400
Lazeez,Koramangala 5th Block,"North Indian, Mughlai, Biryani",3.2/5,600
Aalishan Restaurant & Caterer,Koramangala 7th Block,"North Indian, Mughlai",3.5/5,650
Reddy's Paradise,HSR,Andhra,3.1/5,700
Hotel Food Lands,Koramangala 7th Block,"Seafood, Mangalorean",3.8/5,700
Toscano,Koramangala 7th Block,"Italian, Salad",4.5/5,"1,500"
Mughlai Kitchen,BTM,"Mughlai, North Indian, Chinese, Momos",3.5/5,600
Peace Restaurant,Koramangala 5th Block,"Chinese, Tibetan",3.8/5,500
YORK St.,Koramangala 5th Block,"Cafe, European, Continental",4.4/5,900
Tongue Twisters,BTM,"Bengali, North Indian, Oriya",3.5/5,350
Black Kitchen,Koramangala 6th Block,"Kerala, South Indian",3.7/5,400
Salt - Indian Restaurant Bar & Grill,Koramangala 7th Block,"North Indian, Mughlai, Biryani",4.4/5,"1,500"
Tandoor And Spice,JP Nagar,"North Indian, Chinese, Biryani, Hyderabadi",4.0/5,550
Avon Bar & Kitchen,BTM,"Andhra, Chinese, North Indian",3.7/5,700
China Pearl,Koramangala 6th Block,Chinese,4.4/5,"1,100"
Anupam's Coast II Coast,Koramangala 6th Block,"Seafood, Mangalorean, North Indian, Chinese",4.1/5,700
Vaathsalya Millet Cafe,JP Nagar,"Healthy Food, South Indian",4.1/5,500
Cheesy Juicy Burgers,HSR,"Burger, Sandwich, Beverages",3.8/5,500
Yum Kitchen,HSR,"North Indian, Chinese",3.2/5,600
Pazzo,HSR,"American, Modern Indian, Italian, South Indian",4.3/5,700
What's In A Name,Koramangala 5th Block,"Finger Food, Asian, European, Italian",4.1/5,"1,200"
Dragon's Kitchen,HSR,Chinese,3.1/5,500
Tunday Kababi,Koramangala 5th Block,"North Indian, Kebab",3.9/5,500
Anvar Bhai's,BTM,North Indian,,250
Flavour of China,BTM,Chinese,3.8/5,550
Bombay Kulfis,Koramangala 5th Block,Ice Cream,3.9/5,200
Biryani Foodies,Koramangala 5th Block,"Biryani, Mughlai",3.1/5,500
Azimmo Treat,HSR,"North Indian, Chinese",3.8/5,700
Authentic Aandhra,BTM,"Andhra, North Indian",NEW,300
Aaccord Restaurant,BTM,"Continental, North Indian, South Indian",NEW,700
Salut,Jayanagar,"Continental, Finger Food, Seafood, Pizza",4.1/5,"1,200"
Maria's Goan Kitchen,Koramangala 7th Block,"Goan, Chinese, Biryani",3.9/5,750
Dhaba Bytes,HSR,North Indian,4.1/5,650
Noon's,HSR,Biryani,4.2/5,300
ReadyBowl,BTM,"Andhra, South Indian, North Indian, Biryani",3.7/5,400
The Waffle Street,HSR,"Continental, Beverages, Burger, Coffee, Desserts",3.9/5,300
Hotel Aradhana,Bannerghatta Road,North Indian,3.7/5,300
Pizza Cart,HSR,Pizza,3.8/5,800
Healthy Parathawala,BTM,North Indian,NEW,200
China Bowl,Koramangala 6th Block,Chinese,3.9/5,"1,000"
Grills And Tandoor,Koramangala 5th Block,"North Indian, Chinese",3.6/5,900
Smokey Tribe Restaurant,Koramangala 7th Block,"North Eastern, Chinese",3.8/5,650
MK Dabbawala,Koramangala 4th Block,North Indian,3.1/5,400
Natural Mumbai Kulfi,BTM,Ice Cream,3.5/5,130
Cafe 221B,BTM,"Cafe, Beverages",3.7/5,300
Harry's Bar + Cafe,Koramangala 7th Block,"Asian, American, Mexican",4.2/5,"1,400"
Meal Square,Bannerghatta Road,"North Indian, Chinese",3.4/5,600
